,a_id,user_id,repository_pair_id,synergy,direction,explanation,synergy_map,synergy_abstract,repo_description1,repo_description2,score,username,batch
8,2,8,2,1,0,,-1,0,Smali Control Flow Graph's,Certificate manager bot using ACME protocol,0.0015228855664240828,syed,1.0
12,136,12,2,1,0,visualize program code vs. maintain certificates,-1,0,Smali Control Flow Graph's,Certificate manager bot using ACME protocol,0.0015228855664240828,schwabe_1,1.0
10,242,10,2,1,0,"I cannot see most of the Readme for Repository 1 in the annotation UI. From what I can gather: Repo1 generates control flow graphs for Java code, Repo2 is implemented in Python. ",-1,0,Smali Control Flow Graph's,Certificate manager bot using ACME protocol,0.0015228855664240828,voelske,1.0
8,5,8,5,1,0,,-1,0,A grotesque sans.,Crawler for linguistic corpora,0.0014315431931951387,syed,1.0
12,139,12,5,1,0,web font vs. generating corpora for different languages using the web,-1,0,A grotesque sans.,Crawler for linguistic corpora,0.0014315431931951387,schwabe_1,1.0
10,245,10,5,1,0,,-1,0,A grotesque sans.,Crawler for linguistic corpora,0.0014315431931951387,voelske,1.0
10,248,10,7,1,0,,-1,0,Crawler for linguistic corpora,A real-time visualisation of the CO2 emissions of electricity consumption,0.001883823119565022,voelske,1.0
12,141,12,7,1,0,create corpora for different languages using the web vs. visualization of the Greenhouse Gas,-1,0,Crawler for linguistic corpora,A real-time visualisation of the CO2 emissions of electricity consumption,0.001883823119565022,schwabe_1,1.0
8,7,8,7,3,12,"May be the Corpus Crawler can display a world map of the supported languages (alongside the existing list). This is not necessarily to make it better, but a nice feature to have.",1,2,Crawler for linguistic corpora,A real-time visualisation of the CO2 emissions of electricity consumption,0.001883823119565022,syed,1.0
10,250,10,9,1,0,,-1,0,pdfCropMargins -- a program to crop the margins of PDF files,A tool that automatically formats Python code to conform to the PEP 8 style guide.,0.0016036721359487696,voelske,1.0
8,9,8,9,1,0,,-1,0,pdfCropMargins -- a program to crop the margins of PDF files,A tool that automatically formats Python code to conform to the PEP 8 style guide.,0.0016036721359487696,syed,1.0
12,143,12,9,2,2,"project 1 makes reading inconsistent pdfs easier, while project 2 formats python code to a predefined format and makes reading a python project consistent. Maybe one could integrate both tools to clean a messy python project with a messy documentation in pdf format, but i think if such a project exits no one would use it anyway.",0,1,pdfCropMargins -- a program to crop the margins of PDF files,A tool that automatically formats Python code to conform to the PEP 8 style guide.,0.0016036721359487696,schwabe_1,1.0
8,24,8,14,1,0,"I referred to some additional resources in the README files to understand what problem they are trying to solve. Still, my background knowledge is very limited and I am not sure about my decision for this one.",-1,0,Somatic fusion genes finder for RNA-seq data,ChIP-seq analysis notes from Tommy Tang,0.0014720653508386347,syed,1.0
10,269,10,14,3,2,very low confidence for this annotation due to lack of subject area expertise: both Repositories do some kind of computational biology / gene sequence analysis,1,2,Somatic fusion genes finder for RNA-seq data,ChIP-seq analysis notes from Tommy Tang,0.0014720653508386347,voelske,1.0
12,148,12,14,1,0,"project 1 finds somatic fusion genes and project 2 finds interactions between dna and proteins
it could be beneficial but i don't enough about this level of biology to understand how ",-1,0,Somatic fusion genes finder for RNA-seq data,ChIP-seq analysis notes from Tommy Tang,0.0014720653508386347,schwabe_1,1.0
8,25,8,15,2,12,Both provide automation of smart home devices. Repo 1 seems to be a standard/ open source protocol while Repo 2 is clearly proprietary.,0,1,Library implementing a ZigBee stack,Python library & console tool for controlling Xiaomi Vacuum cleaner robot,0.0014263060271987532,syed,1.0
10,270,10,15,4,2,"Both are Python libraries for home automation, and the set of supported devices appears to be non-overlapping, so potentially a new project could use both as subsystems to support all of the devices involved.",2,2,Library implementing a ZigBee stack,Python library & console tool for controlling Xiaomi Vacuum cleaner robot,0.0014263060271987532,voelske,1.0
12,149,12,15,4,21,"project 1 implements zigbee protocol as a python library to manage Internet of Things devices.
project 2 is a python library for managing IoT devices produced by Xiaomi, it uses its own protocol (miIO protocol), maybe it could use zigbee but only if these devices support zigbee",2,2,Library implementing a ZigBee stack,Python library & console tool for controlling Xiaomi Vacuum cleaner robot,0.0014263060271987532,schwabe_1,1.0
10,271,10,16,2,12,"Repo 1 is a collection of links to various software. Repo 2 is some kind of ROM database for a gaming emulation software called RetroArch. Since RetroArch itself is already included in the list in Repo1, it might make sense to include Repo 2 in this list, as well.",0,1,"A list of awesome applications, software, tools and other materials for Linux distros. ","Repository containing cheatcode files, content data files, etc.",0.0015245777662835525,voelske,1.0
8,26,8,16,1,0,Repo 1 is only a collection of other repositories. ,-1,0,"A list of awesome applications, software, tools and other materials for Linux distros. ","Repository containing cheatcode files, content data files, etc.",0.0015245777662835525,syed,1.0
12,150,12,16,1,0,project 2 is mentioned in project 1,-1,0,"A list of awesome applications, software, tools and other materials for Linux distros. ","Repository containing cheatcode files, content data files, etc.",0.0015245777662835525,schwabe_1,1.0
10,272,10,17,1,0,"Repository 1 probably uses some sort of tree data structure under the hood, but the one from Repo2 is for numerical keys only, and wouldn't apply here.",-1,0,matchpy,"A mutable, self-balancing interval tree. Queries may be by point, by range overlap, or by range containment. ",0.0016289002791755585,voelske,1.0
8,27,8,17,1,0,,-1,0,matchpy,"A mutable, self-balancing interval tree. Queries may be by point, by range overlap, or by range containment. ",0.0016289002791755585,syed,1.0
