,a_id,user_id,repository_pair_id,synergy,direction,explanation,synergy_map,synergy_abstract,repo_description1,repo_description2,score,username,batch
8,1,8,1,1,0,,-1,0,Text Conditioned Auxiliary Classifier Generative Adversarial Network,wireless hacking - This is automated wireless hacking tool,0.0,syed,1.0
12,135,12,1,1,0,"image generation from text vs. testing wireless security.
operate on different type of information: natural language vs. bit streams",-1,0,Text Conditioned Auxiliary Classifier Generative Adversarial Network,wireless hacking - This is automated wireless hacking tool,0.0,schwabe_1,1.0
10,241,10,1,1,0,"Maybe at some point in the future something like Repo 1 could be used to generate visualizations for the wireless scanning in Repo 2. But this is far too speculative to consider it a real synergy, in my view.",-1,0,Text Conditioned Auxiliary Classifier Generative Adversarial Network,wireless hacking - This is automated wireless hacking tool,0.0,voelske,1.0
8,3,8,3,1,0,,-1,0,album ripper,Pretrained Embeddings,0.0,syed,1.0
12,137,12,3,1,0,image scraping for some websites vs. word embedding provider,-1,0,album ripper,Pretrained Embeddings,0.0,schwabe_1,1.0
10,243,10,3,1,0,,-1,0,album ripper,Pretrained Embeddings,0.0,voelske,1.0
10,244,10,4,3,12,Repo2 could potentially provide an alternative backend service for Repo1,1,2,A magic pipe in the sky for the command line,Function based deploy and management tool for AWS Lambda.,0.0,voelske,1.0
12,138,12,4,2,21,"transfer terminal output to other terminals/machines vs. user friendly remote code processing
somehow similar, but the first is good for self hosed services, while the last is just a better front end for a application that is hosted by amazon",0,1,A magic pipe in the sky for the command line,Function based deploy and management tool for AWS Lambda.,0.0,schwabe_1,1.0
8,4,8,4,3,21,"Skypipe can be integrated into Lamvery to use AWS account instead of the dotcloud account. This way, may be users can pipe logs from a Lamvery server to any other machine (which itself accumulates logs from AWS lambdas)",1,2,A magic pipe in the sky for the command line,Function based deploy and management tool for AWS Lambda.,0.0,syed,1.0
10,251,10,10,1,0,,-1,0,This is a PyPI mirror client according to PEP 381 http://www.python.org/dev/peps/pep-0381/,A collection of SD redirect patches for 3DS games,0.0,voelske,1.0
8,10,8,10,1,0,,-1,0,This is a PyPI mirror client according to PEP 381 http://www.python.org/dev/peps/pep-0381/,A collection of SD redirect patches for 3DS games,0.0,syed,1.0
12,144,12,10,1,0,python package mirror vs. modding of some nintendo 3ds games,-1,0,This is a PyPI mirror client according to PEP 381 http://www.python.org/dev/peps/pep-0381/,A collection of SD redirect patches for 3DS games,0.0,schwabe_1,1.0
8,22,8,12,1,0,,-1,0,Example of how to host your script (bot ot something like that) on heroku.,Online inference for the Hierarchical Dirichlet Process. Fits hierarchical Dirichlet process topic models to massive data. The algorithm determines the number of topics.,0.0,syed,1.0
10,267,10,12,1,0,,-1,0,Example of how to host your script (bot ot something like that) on heroku.,Online inference for the Hierarchical Dirichlet Process. Fits hierarchical Dirichlet process topic models to massive data. The algorithm determines the number of topics.,0.0,voelske,1.0
12,146,12,12,1,0,"hosting python applications on heroku vs. fit topic model to massiv data
one could use the first project to host the second on heroku as a webservice to apply topic modeling ",-1,0,Example of how to host your script (bot ot something like that) on heroku.,Online inference for the Hierarchical Dirichlet Process. Fits hierarchical Dirichlet process topic models to massive data. The algorithm determines the number of topics.,0.0,schwabe_1,1.0
8,23,8,13,1,0,,-1,0,This repository hold the Amazon Elastic MapReduce sample bootstrap actions ,hotpot,0.0,syed,1.0
10,268,10,13,4,2,I might be possible to use the code from Repo 1 to train the QA models from Repo 2 on an amazon EMR cluster.,2,2,This repository hold the Amazon Elastic MapReduce sample bootstrap actions ,hotpot,0.0,voelske,1.0
12,147,12,13,1,0,better manage amazon cluster vs. natural language model for question answering,-1,0,This repository hold the Amazon Elastic MapReduce sample bootstrap actions ,hotpot,0.0,schwabe_1,1.0
10,273,10,18,1,0,,-1,0,Git integration for Sublime Text 2 and 3,A simple host for static documentation.,0.0,voelske,1.0
8,28,8,18,1,0,,-1,0,Git integration for Sublime Text 2 and 3,A simple host for static documentation.,0.0,syed,1.0
12,152,12,18,3,12,one could write a extension for project 1 which would allow to update the documentation on commit/push with one click on the server hosted using project 2,1,2,Git integration for Sublime Text 2 and 3,A simple host for static documentation.,0.0,schwabe_1,1.0
10,276,10,21,1,0,"Weak potential for synergy, but really no common features: Repo1 is a generic system for orchestrating virtualized development environments that could potentially be used to develop Repo2, as well. ",-1,0,Build and orchestrate your development environments with LXD - a.k.a. Vagrant is Too Heavy™,Query and control Ableton Live from Python,0.0,voelske,1.0
8,31,8,21,1,0,,-1,0,Build and orchestrate your development environments with LXD - a.k.a. Vagrant is Too Heavy™,Query and control Ableton Live from Python,0.0,syed,1.0
12,155,12,21,1,0,"virtual machine vs. trigger events based on music
maybe one could use project 1 to isolate project 2 from ones own system",-1,0,Build and orchestrate your development environments with LXD - a.k.a. Vagrant is Too Heavy™,Query and control Ableton Live from Python,0.0,schwabe_1,1.0
8,32,8,22,1,0,,-1,0,Python package for information theory.,django-webtest provides integration of Ian Bicking's WebTest (http://pythonpaste.org/webtest/) with django's testing framework.,0.0,syed,1.0
10,277,10,22,1,0,"Both are Python libraries, but I see no potential synergy beyond a third project using both as dependencies by coincidence.",-1,0,Python package for information theory.,django-webtest provides integration of Ian Bicking's WebTest (http://pythonpaste.org/webtest/) with django's testing framework.,0.0,voelske,1.0
12,156,12,22,1,0,different fields: information theory vs. software testing,-1,0,Python package for information theory.,django-webtest provides integration of Ian Bicking's WebTest (http://pythonpaste.org/webtest/) with django's testing framework.,0.0,schwabe_1,1.0
12,162,12,28,3,12,project 1 could use project 2 for async jobs if it needs them,1,2,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",Non-blocking Celery client for Tornado,0.0,schwabe_1,1.0
10,283,10,28,3,12,"Repo1 is a tool for managing jupyter notebooks across multiple nodes; jupyter uses the tornado web server, and the zmq message queue. Repo2 is a library for accessing a different message queue, Celery, from a tornado web server. If Repo1 wanted to replace zmq with Celery for some reason, they could use Repo2 to achieve that.",1,2,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across distributed clusters such as Apache Spark, Kubernetes and others.",Non-blocking Celery client for Tornado,0.0,voelske,1.0
