,id,repo_url1,repo_url2,repo_description1,repo_description2,score,is_random,algorithm,batch,score_nmf_mult,score_nmf_rwr_d00,score_nmf_rwr_d01,score_nmf_rwr_d02,score_nmf_rwr_d03,score_nmf_rwr_d05,score_lda_rwr_d00,score_lda_rwr_d01,score_lda_rwr_d02,score_lda_rwr_d03,score_lda_rwr_d05
0,1,https://api.github.com/repos/dashayushman/TAC-GAN,https://api.github.com/repos/entropy1337/infernal-twin,Text Conditioned Auxiliary Classifier Generative Adversarial Network,wireless hacking - This is automated wireless hacking tool,0.0,True,random,1,4.718635613728194e-05,5.5423879082653975e-05,0.00042008453528638156,0.0007847451914901091,0.0011494058476938366,0.0018787271601012918,5.0065228508543335e-05,0.0003699993186335142,0.000689933408758485,0.0010098674988834556,0.0016497356791333974
1,2,https://api.github.com/repos/EugenioDelfa/Smali-CFGs,https://api.github.com/repos/plinss/acmebot,Smali Control Flow Graph's,Certificate manager bot using ACME protocol,0.0015228855664240828,False,d02,1,0.0008139382288144825,5.4103290011056186e-05,0.0003742215663258185,0.0006943398426405808,0.001014458118955343,0.0016546946715848675,0.001395203627123286,0.0014590445967736843,0.0015228855664240828,0.0015867265360744814,0.001714408475375278
2,3,https://api.github.com/repos/4pr0n/rip,https://api.github.com/repos/vzhong/embeddings,album ripper,Pretrained Embeddings,0.0,True,random,1,7.069510410733083e-05,0.00016823709565570835,0.00047656189226530116,0.0007848866888748939,0.0010932114854844866,0.0017098610787036723,7.541929703376928e-05,0.00039979485143021504,0.0007241704058266608,0.0010485459602231064,0.001697297069015998
3,4,https://api.github.com/repos/progrium/skypipe,https://api.github.com/repos/marcy-terui/lamvery,A magic pipe in the sky for the command line,Function based deploy and management tool for AWS Lambda.,0.0,True,random,1,0.00015875993942434858,0.00023783341922871225,0.0005074280305219493,0.0007770226418151863,0.0010466172531084232,0.0015858064756948973,0.00017213679346813598,0.00047170927229239247,0.0007712817511166489,0.001070854229940905,0.001669999187589418
4,5,https://api.github.com/repos/weiweihuanghuang/Work-Sans,https://api.github.com/repos/googlei18n/corpuscrawler,A grotesque sans.,Crawler for linguistic corpora,0.0014315431931951387,False,d02,1,0.0005290601314455563,0.00018949049347088113,0.0005024727684480449,0.0008154550434252086,0.001128437318402372,0.0017544018683566995,0.0008856620065948164,0.0011586025998949776,0.0014315431931951387,0.0017044837864952996,0.002250364973095622
5,6,https://api.github.com/repos/ZeroQI/Absolute-Series-Scanner,https://api.github.com/repos/ZeroQI/Hama.bundle,"Seasons, absolute mode, Subfolders and plexignore support...",Plex HTTP Anidb Metadata Agent (HAMA),0.0013506436906207044,False,d00,1,0.0007971407599575997,0.00031531266135906825,0.000533830521718359,0.0007523483820776496,0.0009708662424369402,0.0014079019631555215,0.0013506436906207048,0.001426199203144867,0.0015017547156690294,0.0015773102281931913,0.0017284212532415158
6,7,https://api.github.com/repos/googlei18n/corpuscrawler,https://api.github.com/repos/tmrowco/electricitymap-contrib,Crawler for linguistic corpora,A real-time visualisation of the CO2 emissions of electricity consumption,0.001883823119565022,False,d02,1,0.0008902410735661895,6.13771880061285e-05,0.00038557417071806796,0.0007097711534300074,0.0010339681361419468,0.0016823621015658258,0.0016182590936026598,0.001751041106583841,0.0018838231195650221,0.0020166051325462026,0.0022821691585085653
7,8,https://api.github.com/repos/kcakdemir/HiCPlotter,https://api.github.com/repos/antigenomics/vdjdb-db,HiCPlotter,Git-based TCR database storage & management,0.001532779139837486,False,d00,1,0.0008581428688728131,0.00010575185040198819,0.00043255871182147084,0.0007593655732409535,0.0010861724346604362,0.0017397861574994014,0.001532779139837486,0.001576784076797461,0.0016207890137574362,0.0016647939507174114,0.0017528038246373617
8,9,https://api.github.com/repos/abarker/pdfCropMargins,https://api.github.com/repos/hhatto/autopep8,pdfCropMargins -- a program to crop the margins of PDF files,A tool that automatically formats Python code to conform to the PEP 8 style guide.,0.0016036721359487696,False,d02,1,0.0008302280821233646,0.00014722929754889825,0.0003974056751178399,0.0006475820526867816,0.0008977584302557232,0.0013981111853936066,0.0015327052321679117,0.0015681886840583407,0.0016036721359487694,0.001639155587839198,0.0017101224916200558
9,10,https://api.github.com/repos/pypa/bandersnatch,https://api.github.com/repos/shinyquagsire23/SaltySD,This is a PyPI mirror client according to PEP 381 http://www.python.org/dev/peps/pep-0381/,A collection of SD redirect patches for 3DS games,0.0,True,random,1,6.727741297029196e-05,0.00022535802844181682,0.0004774472269064323,0.0007295364253710478,0.0009816256238356633,0.0014858040207648942,7.096688011853104e-05,0.000392795037673468,0.000714623195228405,0.001036451352783342,0.0016801076678932157
10,11,https://api.github.com/repos/maraujop/django-rules,https://api.github.com/repos/audiolion/django-behaviors,Flexible and scalable Django authorization backend for unified per object permission management,"Core common behaviors for Django models, e.g. Timestamps, Publishing, Authoring, Editing and more.",0.0012998184596364414,False,d00,1,0.0007585485668776773,0.00033029507783921026,0.0005676828538389881,0.000805070629838766,0.0010424584058385438,0.0015172339578380994,0.0012998184596364414,0.001361316093688138,0.0014228137277398343,0.0014843113617915306,0.0016073066298949235
11,12,https://api.github.com/repos/michaelkrukov/heroku-python-script,https://api.github.com/repos/Blei-Lab/online-hdp,Example of how to host your script (bot ot something like that) on heroku.,Online inference for the Hierarchical Dirichlet Process. Fits hierarchical Dirichlet process topic models to massive data. The algorithm determines the number of topics.,0.0,True,random,1,7.060077270203698e-05,1.0108649666370358e-05,0.0003586948601693181,0.0007072810706722658,0.0010558672811752136,0.001753039702181109,7.395444378529438e-05,0.0003916457874792346,0.0007093371311731747,0.0010270284748671147,0.0016624111622549952
12,13,https://api.github.com/repos/aws-samples/emr-bootstrap-actions,https://api.github.com/repos/hotpotqa/hotpot,This repository hold the Amazon Elastic MapReduce sample bootstrap actions ,hotpot,0.0,True,random,1,5.29647544081361e-05,2.220818903240767e-05,0.0003415975278331007,0.0006609868666337937,0.0009803762054344865,0.0016191548830358725,5.6187152530398694e-05,0.00038630623103423054,0.0007164253095380624,0.0010465443880418941,0.0017067825450495578
